"Make","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","selling_price_dollars","age","selling_price_binary"
"Maruti",2012,6e+05,72000,"Diesel","Individual","Manual","First Owner",21.5,1248,88.8,5,7800,10,"Yes"
"Tata",2018,5e+05,35000,"Petrol","Individual","Manual","First Owner",20.3,1199,83.81,5,6500,4,"Yes"
"Maruti",2016,575000,45000,"Petrol","Individual","Manual","First Owner",21.4,1197,83.1,5,7475,6,"Yes"
"Maruti",2017,275000,28000,"Petrol","Individual","Manual","First Owner",24.7,796,47.3,5,3575,5,"Yes"
"Chevrolet",2013,3e+05,70000,"Diesel","Individual","Manual","First Owner",18.2,1248,73.8,7,3900,9,"Yes"
"Maruti",2009,220000,120000,"Petrol","Individual","Manual","First Owner",18.9,1061,67,5,2860,13,"Yes"
"Maruti",2018,254999,25000,"Petrol","Individual","Manual","First Owner",16.8,796,34.2,8,3314.987,4,"Yes"
"Maruti",2017,670000,70000,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,8710,5,"Yes"
"Maruti",2012,150000,35000,"Petrol","Individual","Manual","Second Owner",14,796,35,5,1950,10,"Yes"
"Hyundai",2018,730000,2388,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,9490,4,"Yes"
"Maruti",2017,650000,16200,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,8450,5,"Yes"
"Maruti",2019,330000,10000,"CNG","Individual","Manual","Second Owner",33.44,796,40.3,4,4290,3,"Yes"
"Maruti",2019,366000,15000,"Petrol","Individual","Manual","First Owner",23.95,998,67.1,5,4758,3,"Yes"
"Hyundai",2019,1149000,5000,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,14937,3,"No"
"Datsun",2016,150000,42000,"Petrol","Individual","Manual","First Owner",20.63,1198,67,5,1950,6,"Yes"
"Tata",2011,425000,60000,"Diesel","Individual","Manual","Second Owner",13.93,2179,138.03,7,5525,11,"Yes"
"Maruti",2012,150000,76000,"Petrol","Individual","Manual","First Owner",16.1,796,37,4,1950,10,"Yes"
"Jeep",2019,2100000,5000,"Petrol","Individual","Automatic","First Owner",16,1368,160.77,5,27300,3,"No"
"Honda",2018,925000,28900,"Petrol","Dealer","Manual","First Owner",17.8,1497,117.3,5,12025,4,"No"
"Honda",2013,425000,86300,"Petrol","Dealer","Manual","First Owner",16.8,1497,116.3,5,5525,9,"Yes"
"Maruti",2018,675000,23300,"Petrol","Dealer","Automatic","First Owner",18.5,1197,83.14,5,8775,4,"Yes"
"Maruti",2018,819999,32600,"Diesel","Dealer","Manual","First Owner",24.3,1248,88.5,5,10659.987,4,"No"
"Maruti",2018,390000,10300,"Petrol","Dealer","Manual","First Owner",23.95,998,67.05,5,5070,4,"Yes"
"Toyota",2014,1500000,77000,"Diesel","Dealer","Manual","First Owner",12.55,2982,168.5,7,19500,8,"No"
"Toyota",2013,7e+05,99000,"Diesel","Dealer","Manual","First Owner",12.99,2494,100,7,9100,9,"Yes"
"Mercedes-Benz",2014,1450000,27800,"Diesel","Dealer","Automatic","Second Owner",14.8,2143,120.7,5,18850,8,"No"
"Honda",2015,425000,49800,"Diesel","Dealer","Manual","First Owner",24.7,1498,98.63,5,5525,7,"Yes"
"Mitsubishi",2013,1090000,151000,"Diesel","Dealer","Manual","First Owner",13.5,2477,175.56,7,14170,9,"No"
"Honda",2015,6e+05,54700,"Diesel","Dealer","Manual","First Owner",26,1498,98.6,5,7800,7,"Yes"
"Maruti",2018,850000,64000,"Petrol","Dealer","Manual","First Owner",20.65,1462,103.25,5,11050,4,"No"
"Honda",2015,525000,63000,"Diesel","Dealer","Manual","First Owner",27.3,1498,98.6,5,6825,7,"Yes"
"Toyota",2016,1650000,127700,"Diesel","Dealer","Automatic","Second Owner",11.36,2755,171.5,7,21450,6,"No"
"Toyota",2016,950000,99000,"Diesel","Dealer","Manual","First Owner",12.99,2494,100.6,7,12350,6,"No"
"Audi",2013,1750000,33900,"Diesel","Dealer","Automatic","Second Owner",17.68,1968,174.33,5,22750,9,"No"
"Toyota",2018,1590000,25000,"Petrol","Dealer","Automatic","First Owner",14.28,1798,138.03,5,20670,4,"No"
"Audi",2013,1689999,50000,"Diesel","Dealer","Automatic","First Owner",18.53,1968,187.74,5,21969.987,9,"No"
"Mercedes-Benz",2013,1425000,59000,"Diesel","Dealer","Automatic","First Owner",14.84,2143,170,5,18525,9,"No"
"Tata",2011,265000,120000,"Diesel","Individual","Manual","First Owner",21.12,1248,88.8,5,3445,11,"Yes"
"Hyundai",2011,190000,110000,"Petrol","Individual","Manual","Third Owner",20.36,1197,78.9,5,2470,11,"Yes"
"Hyundai",2013,425000,60000,"Diesel","Individual","Manual","First Owner",21.27,1396,88.76,5,5525,9,"Yes"
"Maruti",2015,630000,147000,"Diesel","Individual","Manual","Second Owner",26.59,1248,74,5,8190,7,"Yes"
"Ford",2017,6e+05,25000,"Petrol","Individual","Manual","Third Owner",18.16,1196,86.8,5,7800,5,"Yes"
"Maruti",2019,650000,30000,"Petrol","Individual","Manual","First Owner",21.4,1197,83.1,5,8450,3,"Yes"
"Volkswagen",2016,540000,40000,"Diesel","Individual","Manual","First Owner",22,1498,108.495,5,7020,6,"Yes"
"Honda",2015,630000,135000,"Diesel","Individual","Manual","First Owner",25.1,1498,98.6,5,8190,7,"Yes"
"Maruti",2018,448000,30000,"Petrol","Individual","Automatic","First Owner",20.51,998,67,5,5824,4,"Yes"
"Volkswagen",2017,5e+05,80000,"Diesel","Individual","Manual","First Owner",21.66,1498,108.62,5,6500,5,"Yes"
"Maruti",2016,745000,70000,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,9685,6,"Yes"
"Maruti",2019,1025000,9850,"Diesel","Individual","Automatic","First Owner",24.3,1248,88.5,5,13325,3,"No"
"Hyundai",2011,235000,60000,"Petrol","Individual","Manual","Second Owner",20.36,1197,78.9,5,3055,11,"Yes"
"Maruti",2016,630000,70000,"Diesel","Individual","Manual","First Owner",25.2,1248,74,5,8190,6,"Yes"
"Toyota",2015,1700000,78000,"Diesel","Individual","Manual","Second Owner",12.55,2982,168.5,7,22100,7,"No"
"Maruti",2013,450000,120000,"Diesel","Individual","Manual","Second Owner",22.9,1248,74,5,5850,9,"Yes"
"Maruti",2012,450000,120000,"Petrol","Individual","Manual","Second Owner",16.02,1373,93.7,7,5850,10,"Yes"
"Volkswagen",2013,450000,170000,"Diesel","Individual","Manual","First Owner",20.54,1598,103.6,5,5850,9,"Yes"
"Toyota",2016,1200000,140000,"Diesel","Individual","Manual","First Owner",12.99,2494,100.6,8,15600,6,"No"
"Ford",2015,610000,90000,"Diesel","Individual","Manual","First Owner",22.77,1498,98.59,5,7930,7,"Yes"
"BMW",2016,2500000,30000,"Petrol","Individual","Automatic","Second Owner",15.71,1998,189,5,32500,6,"No"
"Maruti",2017,484999,10000,"Petrol","Dealer","Manual","First Owner",23.1,998,67.04,5,6304.987,5,"Yes"
"Datsun",2016,275000,49000,"Petrol","Dealer","Manual","First Owner",19.02,1198,67.05,5,3575,6,"Yes"
"Maruti",2016,315000,32000,"Petrol","Dealer","Manual","First Owner",24.7,796,47.3,5,4095,6,"Yes"
"Maruti",2016,275000,38000,"Petrol","Dealer","Manual","First Owner",24.7,796,47.3,5,3575,6,"Yes"
"Hyundai",2012,290000,28000,"Petrol","Dealer","Manual","First Owner",19.81,1086,68.05,5,3770,10,"Yes"
"Maruti",2017,280000,32000,"Petrol","Dealer","Manual","First Owner",14,796,35,5,3640,5,"Yes"
"Maruti",2010,225000,44000,"LPG","Dealer","Manual","First Owner",26.2,998,58.2,5,2925,12,"Yes"
"Volkswagen",2015,455000,42000,"Petrol","Dealer","Manual","First Owner",16.47,1198,74,5,5915,7,"Yes"
"Hyundai",2015,351000,45000,"Petrol","Dealer","Manual","Second Owner",19.81,1086,68.05,5,4563,7,"Yes"
"Volkswagen",2012,535000,12000,"Petrol","Dealer","Manual","Second Owner",15.04,1598,103.6,5,6955,10,"Yes"
"Maruti",2009,175000,55500,"Petrol","Dealer","Manual","First Owner",18.2,998,67.1,5,2275,13,"Yes"
"Hyundai",2013,525000,61500,"Petrol","Dealer","Manual","First Owner",18.5,1197,82.85,5,6825,9,"Yes"
"Maruti",2016,6e+05,150000,"Diesel","Individual","Manual","First Owner",26.59,1248,74,5,7800,6,"Yes"
"Hyundai",2016,565000,72000,"Petrol","Dealer","Automatic","First Owner",19.1,1197,82,5,7345,6,"Yes"
"Maruti",2008,120000,68000,"Petrol","Dealer","Manual","Third Owner",19.7,796,46.3,5,1560,14,"Yes"
"Hyundai",2017,725000,110000,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,9425,5,"Yes"
"Maruti",2009,185000,77000,"Petrol","Dealer","Manual","Second Owner",21.79,998,67.05,5,2405,13,"Yes"
"Tata",2010,2e+05,1e+05,"Diesel","Individual","Manual","Second Owner",18.8,1248,90,5,2600,12,"Yes"
"Maruti",2019,615000,10000,"Petrol","Individual","Manual","First Owner",21.21,1197,81.8,5,7995,3,"Yes"
"Maruti",2016,270000,1e+05,"Petrol","Individual","Manual","Third Owner",15.37,1196,73,7,3510,6,"Yes"
"Maruti",2018,610000,35000,"Petrol","Individual","Manual","First Owner",21.4,1197,83.1,5,7930,4,"Yes"
"Mahindra",2014,625000,70000,"Diesel","Individual","Automatic","Second Owner",11.79,2179,120,8,8125,8,"Yes"
"Ford",2020,4e+05,5000,"Petrol","Individual","Manual","Second Owner",19,1194,94.68,5,5200,2,"Yes"
"Hyundai",2017,866000,37800,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,11258,5,"No"
"Volkswagen",2010,7e+05,114000,"Petrol","Individual","Manual","First Owner",14.3,1798,160,5,9100,12,"Yes"
"Tata",2010,3e+05,48000,"Petrol","Individual","Manual","First Owner",15.8,1172,65,5,3900,12,"Yes"
"Mahindra",2019,1700000,32000,"Diesel","Individual","Manual","First Owner",15.1,2179,155,7,22100,3,"No"
"Tata",2016,375000,1e+05,"Diesel","Individual","Manual","First Owner",19.09,1405,69.01,5,4875,6,"Yes"
"Hyundai",2013,522000,150000,"Diesel","Individual","Manual","Second Owner",22.32,1582,126.32,5,6786,9,"Yes"
"Hyundai",2013,451999,69000,"Diesel","Individual","Manual","First Owner",21.9,1396,88.76,5,5875.987,9,"Yes"
"Toyota",2009,3e+05,1e+05,"Petrol","Individual","Manual","Second Owner",14.53,1798,138.1,5,3900,13,"Yes"
"Maruti",2020,475000,13000,"Petrol","Individual","Manual","First Owner",21.63,998,67.04,5,6175,2,"Yes"
"Maruti",2016,780000,60000,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,10140,6,"No"
"Maruti",2017,595000,40000,"Petrol","Individual","Manual","First Owner",20.85,1197,83.14,5,7735,5,"Yes"
"Maruti",2017,440000,35000,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,5720,5,"Yes"
"Nissan",2014,4e+05,70000,"Diesel","Individual","Manual","Third Owner",20.45,1461,83.8,5,5200,8,"Yes"
"Hyundai",2016,1140000,50000,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,14820,6,"No"
"Ford",2017,850000,76139,"Diesel","Individual","Manual","First Owner",23,1498,98.96,5,11050,5,"No"
"Maruti",2012,370000,175000,"Diesel","Individual","Manual","Fourth & Above Owner",19.3,1248,73.9,5,4810,10,"Yes"
"Renault",2018,350000,25000,"Petrol","Individual","Manual","First Owner",23.01,999,67,5,4550,4,"Yes"
"Maruti",2015,360000,40000,"Petrol","Individual","Manual","Second Owner",23.1,998,67.04,5,4680,7,"Yes"
"Maruti",2008,105000,65000,"Petrol","Individual","Manual","Fourth & Above Owner",19.7,796,46.3,5,1365,14,"Yes"
"Maruti",2013,625000,90000,"Diesel","Individual","Manual","Second Owner",20.77,1248,88.76,7,8125,9,"Yes"
"Hyundai",2009,135000,80000,"Petrol","Individual","Manual","Second Owner",17.92,1086,62.1,5,1755,13,"Yes"
"Maruti",2015,7e+05,110000,"Diesel","Individual","Manual","Second Owner",20.77,1248,88.76,7,9100,7,"Yes"
"Honda",2019,690000,1303,"Petrol","Dealer","Manual","First Owner",17.8,1198,86.7,5,8970,3,"Yes"
"Audi",2018,3975000,31800,"Diesel","Dealer","Automatic","First Owner",17.01,1968,188,5,51675,4,"No"
"Lexus",2019,5150000,20000,"Petrol","Dealer","Automatic","First Owner",22.37,2487,214.56,5,66950,3,"No"
"Jaguar",2017,3200000,45000,"Diesel","Dealer","Automatic","First Owner",19.33,1999,177,5,41600,5,"No"
"Jeep",2017,4100000,17000,"Petrol","Individual","Automatic","First Owner",9.5,3604,280,5,53300,5,"No"
"Other",2019,4500000,21000,"Diesel","Dealer","Automatic","First Owner",12.83,1999,148.31,7,58500,3,"No"
"Mercedes-Benz",2017,6e+06,37000,"Diesel","Dealer","Automatic","First Owner",13.5,2987,254.79,5,78000,5,"No"
"BMW",2018,3790000,29500,"Diesel","Dealer","Automatic","First Owner",22.48,1995,187.74,5,49270,4,"No"
"BMW",2019,5800000,7500,"Diesel","Dealer","Automatic","First Owner",16.78,1995,190,5,75400,3,"No"
"Skoda",2018,1864999,50000,"Petrol","Dealer","Automatic","First Owner",14.67,1798,177.46,5,24244.987,4,"No"
"Mercedes-Benz",2016,2700000,35000,"Diesel","Dealer","Automatic","First Owner",15,2143,204,5,35100,6,"No"
"Other",2019,1750000,19000,"Petrol","Dealer","Automatic","First Owner",13.96,1451,141,5,22750,3,"No"
"Honda",2017,795000,41000,"Petrol","Dealer","Automatic","First Owner",18,1497,117.6,5,10335,5,"No"
"Toyota",2013,625000,39000,"Petrol","Dealer","Automatic","First Owner",14.28,1798,138.03,5,8125,9,"Yes"
"Volvo",2018,3400000,22000,"Diesel","Dealer","Automatic","First Owner",18,1969,190,5,44200,4,"No"
"Audi",2015,2650000,53000,"Diesel","Dealer","Automatic","First Owner",12.07,2967,241.4,7,34450,7,"No"
"Maruti",2015,535000,40000,"Diesel","Dealer","Manual","First Owner",26.21,1248,88.5,5,6955,7,"Yes"
"Mercedes-Benz",2017,5850000,47000,"Diesel","Dealer","Automatic","First Owner",13.5,2987,282,5,76050,5,"No"
"BMW",2010,975000,72200,"Petrol","Dealer","Automatic","Second Owner",10.8,2497,150,5,12675,12,"No"
"Hyundai",2016,805000,49900,"Petrol","Dealer","Manual","First Owner",16.3,1797,147.5,5,10465,6,"No"
"Jaguar",2017,2625000,9000,"Diesel","Dealer","Automatic","First Owner",13.6,1999,177,5,34125,5,"No"
"Tata",2018,811000,11000,"Petrol","Dealer","Manual","First Owner",17,1198,108.5,5,10543,4,"No"
"Volkswagen",2011,375000,49000,"Petrol","Individual","Manual","First Owner",15.04,1598,103.6,5,4875,11,"Yes"
"Hyundai",2012,550000,95000,"Petrol","Individual","Manual","First Owner",16.3,1797,147.5,5,7150,10,"Yes"
"Skoda",2016,645000,11000,"Petrol","Dealer","Automatic","First Owner",14.3,1598,103.5,5,8385,6,"Yes"
"Mercedes-Benz",2018,2550000,18000,"Petrol","Dealer","Automatic","First Owner",15.04,1991,183,5,33150,4,"No"
"Maruti",2014,599000,46100,"Petrol","Dealer","Manual","First Owner",16.02,1373,93.7,7,7787,8,"Yes"
"Mercedes-Benz",2017,2700000,16000,"Petrol","Dealer","Automatic","First Owner",14.74,1991,181.04,5,35100,5,"No"
"Honda",2017,875000,18000,"Petrol","Dealer","Automatic","First Owner",15.6,1497,116.3,5,11375,5,"No"
"Toyota",2019,894999,9654,"Petrol","Dealer","Automatic","First Owner",19.56,1197,81.8,5,11634.987,3,"No"
"Maruti",2011,175000,11000,"Petrol","Dealer","Manual","First Owner",23.95,998,67.05,5,2275,11,"Yes"
"Maruti",2012,340000,24300,"Petrol","Dealer","Manual","First Owner",21.21,1197,81.8,5,4420,10,"Yes"
"Toyota",2016,1525000,42163,"Diesel","Dealer","Automatic","Second Owner",11.36,2755,171.5,7,19825,6,"No"
"Tata",2018,1025000,8000,"Diesel","Dealer","Automatic","First Owner",21.5,1497,108.5,5,13325,4,"No"
"BMW",2016,2150000,30000,"Diesel","Dealer","Automatic","First Owner",22.69,1995,190,5,27950,6,"No"
"Toyota",2016,1900000,41000,"Petrol","Dealer","Automatic","First Owner",19.16,2494,157.7,5,24700,6,"No"
"BMW",2016,2900000,12000,"Diesel","Dealer","Automatic","First Owner",18.12,1995,190,5,37700,6,"No"
"Toyota",2009,450000,71000,"Petrol","Dealer","Automatic","First Owner",12.1,2362,164.7,5,5850,13,"Yes"
"Maruti",2016,850000,20000,"Petrol","Individual","Manual","First Owner",17.5,1373,91.1,7,11050,6,"No"
"Volvo",2017,1e+07,30000,"Petrol","Individual","Automatic","First Owner",42,1969,400,4,130000,5,"No"
"Volkswagen",2011,3e+05,1e+05,"Diesel","Individual","Manual","Second Owner",20.54,1598,103.6,5,3900,11,"Yes"
"Ford",2018,575000,9500,"Petrol","Individual","Manual","First Owner",18.16,1196,86.8,5,7475,4,"Yes"
"Ford",2011,160000,120000,"Diesel","Individual","Manual","First Owner",20,1399,68,5,2080,11,"Yes"
"Maruti",2015,515000,36600,"Petrol","Individual","Manual","First Owner",20.4,1197,81.8,5,6695,7,"Yes"
"Maruti",2015,390000,50000,"Petrol","Individual","Automatic","Second Owner",20.51,998,67,5,5070,7,"Yes"
"Hyundai",2016,550000,14000,"Petrol","Individual","Manual","Second Owner",18.6,1197,81.83,5,7150,6,"Yes"
"Maruti",1999,40000,40000,"Petrol","Individual","Manual","Second Owner",16.1,796,37,4,520,23,"Yes"
"Maruti",2010,220000,120000,"Diesel","Individual","Manual","First Owner",21.1,1248,73.9,5,2860,12,"Yes"
"Hyundai",2015,425000,70000,"Petrol","Individual","Manual","First Owner",18.9,1197,82,5,5525,7,"Yes"
"Volkswagen",2019,480000,13000,"Petrol","Individual","Manual","First Owner",19.44,999,75,5,6240,3,"Yes"
"Hyundai",2014,4e+05,60000,"Petrol","Individual","Manual","Second Owner",18.9,1197,82,5,5200,8,"Yes"
"Maruti",2014,487000,35000,"Petrol","Individual","Manual","First Owner",19.1,1197,85.8,5,6331,8,"Yes"
"Hyundai",2016,386000,44000,"Petrol","Individual","Manual","Second Owner",19.1,1197,82,5,5018,6,"Yes"
"Honda",2005,1e+05,120000,"Petrol","Individual","Manual","Second Owner",13,1493,100,5,1300,17,"Yes"
"Toyota",2010,3e+05,60000,"Diesel","Individual","Manual","First Owner",21.43,1364,87.2,5,3900,12,"Yes"
"Other",2000,1e+05,60000,"Petrol","Individual","Manual","First Owner",18.5,796,53,5,1300,22,"Yes"
"Toyota",2014,1750000,30000,"Diesel","Individual","Manual","Second Owner",13,2982,168.5,7,22750,8,"No"
"Mahindra",2016,450000,15000,"Petrol","Individual","Manual","Second Owner",18.15,1198,82,6,5850,6,"Yes"
"Tata",2017,490000,90000,"Diesel","Individual","Manual","First Owner",22.95,1248,74,5,6370,5,"Yes"
"Honda",2009,345000,47000,"Petrol","Individual","Manual","Second Owner",17,1497,118,5,4485,13,"Yes"
"Maruti",2005,85000,90000,"Petrol","Individual","Manual","First Owner",17.3,993,60,5,1105,17,"Yes"
"Maruti",2010,215000,120600,"Petrol","Individual","Manual","Second Owner",18.9,998,67.1,5,2795,12,"Yes"
"Hyundai",2010,320000,1e+05,"Petrol","Individual","Manual","Third Owner",16.2,1599,103.2,5,4160,12,"Yes"
"Maruti",2016,459999,60000,"Petrol","Individual","Manual","Second Owner",20.85,1197,83.14,5,5979.987,6,"Yes"
"Hyundai",2005,65000,86000,"Petrol","Individual","Manual","First Owner",15.3,1341,83,5,845,17,"Yes"
"Hyundai",2020,720000,5000,"Petrol","Individual","Manual","First Owner",18.6,1197,81.86,5,9360,2,"Yes"
"Maruti",2017,8e+05,37000,"Diesel","Individual","Manual","First Owner",28.09,1248,88.5,5,10400,5,"No"
"Tata",2019,520000,14000,"Petrol","Individual","Manual","First Owner",20.3,1199,84,5,6760,3,"Yes"
"Maruti",2015,580000,70000,"Diesel","Individual","Manual","First Owner",20.77,1248,88.76,7,7540,7,"Yes"
"Honda",2015,6e+05,50000,"Petrol","Individual","Manual","First Owner",17.4,1497,117.3,5,7800,7,"Yes"
"Honda",2014,290000,60000,"Petrol","Individual","Manual","Second Owner",19.4,1198,86.8,5,3770,8,"Yes"
"Maruti",2016,360000,50000,"CNG","Individual","Manual","First Owner",26.6,998,58.16,5,4680,6,"Yes"
"Maruti",2017,550000,50000,"Petrol","Individual","Manual","First Owner",20.85,1197,83.14,5,7150,5,"Yes"
"Hyundai",2013,375000,70000,"Petrol","Individual","Manual","First Owner",18.5,1197,82.85,5,4875,9,"Yes"
"Maruti",2018,420000,35000,"Petrol","Individual","Automatic","First Owner",20.51,998,67,5,5460,4,"Yes"
"Maruti",2017,550000,20000,"Petrol","Individual","Manual","First Owner",21.21,1197,81.8,5,7150,5,"Yes"
"Maruti",2018,270000,20000,"Petrol","Individual","Manual","First Owner",24.7,796,47.3,5,3510,4,"Yes"
"Maruti",2018,7e+05,7800,"Petrol","Individual","Automatic","First Owner",22,1197,81.8,5,9100,4,"Yes"
"Maruti",2017,5e+05,20000,"Petrol","Individual","Manual","First Owner",20.4,1197,81.8,5,6500,5,"Yes"
"Tata",2019,1250000,15000,"Diesel","Individual","Manual","First Owner",17.6,2179,147.94,7,16250,3,"No"
"Hyundai",2013,320000,31377,"Petrol","Individual","Manual","Second Owner",18.5,1197,82.85,5,4160,9,"Yes"
"Maruti",2018,7e+05,50000,"Diesel","Individual","Manual","First Owner",28.4,1248,74.02,5,9100,4,"Yes"
"Maruti",2015,290000,60000,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,3770,7,"Yes"
"Toyota",2012,550000,1e+05,"Petrol","Individual","Automatic","First Owner",14.53,1794,138.1,5,7150,10,"Yes"
"Honda",2012,265000,60000,"Petrol","Individual","Manual","First Owner",19.4,1198,86.8,5,3445,10,"Yes"
"Maruti",2018,830000,5000,"Petrol","Individual","Automatic","First Owner",21.4,1197,83.1,5,10790,4,"No"
"Tata",2017,8e+05,60000,"Diesel","Individual","Manual","First Owner",14.1,2179,147.94,7,10400,5,"No"
"Maruti",2011,160000,25000,"Petrol","Individual","Manual","Second Owner",19.7,796,46.3,5,2080,11,"Yes"
"Renault",2018,335000,30000,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,4355,4,"Yes"
"Datsun",2017,329000,80000,"Petrol","Individual","Manual","Second Owner",20.63,1198,67,5,4277,5,"Yes"
"Maruti",2017,775000,75000,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,10075,5,"No"
"Hyundai",2020,524000,32000,"Petrol","Individual","Manual","First Owner",20.14,1197,81.86,5,6812,2,"Yes"
"Maruti",2015,245000,40000,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,3185,7,"Yes"
"Hyundai",2012,275000,93000,"Petrol","Individual","Manual","Second Owner",17,1197,80,5,3575,10,"Yes"
"Tata",2018,520000,60000,"Petrol","Individual","Manual","First Owner",17.57,1193,88.7,5,6760,4,"Yes"
"Nissan",2014,550000,37000,"Petrol","Individual","Manual","First Owner",16.95,1498,97.7,5,7150,8,"Yes"
"Ford",2018,910000,15000,"Petrol","Individual","Manual","First Owner",17,1497,121.36,5,11830,4,"No"
"Nissan",2015,3e+05,80000,"Petrol","Individual","Manual","First Owner",19.49,1198,67.04,5,3900,7,"Yes"
"Maruti",2016,350000,140000,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,4550,6,"Yes"
"Mahindra",2013,9e+05,70000,"Diesel","Individual","Manual","First Owner",12.83,2696,162,7,11700,9,"No"
"Mahindra",2013,3e+05,120000,"Diesel","Individual","Manual","Second Owner",17.21,1493,100,7,3900,9,"Yes"
"Maruti",2010,250000,110000,"Diesel","Individual","Manual","Second Owner",21.1,1248,73.9,5,3250,12,"Yes"
"Hyundai",2017,1100000,37000,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,14300,5,"No"
"Renault",2016,270000,44000,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,3510,6,"Yes"
"Maruti",2015,640000,80000,"Diesel","Individual","Manual","First Owner",20.77,1248,88.76,7,8320,7,"Yes"
"Mahindra",2015,650000,125000,"Diesel","Individual","Manual","First Owner",15.1,2179,140,7,8450,7,"Yes"
"Maruti",2017,409999,13500,"Petrol","Individual","Manual","First Owner",15.37,1196,73,5,5329.987,5,"Yes"
"Hyundai",2011,165000,75000,"Petrol","Individual","Manual","First Owner",17.92,1086,62.1,5,2145,11,"Yes"
"Hyundai",2007,80000,120000,"Petrol","Individual","Manual","Second Owner",13.2,1495,94,5,1040,15,"Yes"
"Mahindra",2012,535000,120000,"Diesel","Individual","Manual","First Owner",15.1,2179,140,7,6955,10,"Yes"
"Toyota",2013,7e+05,70000,"Diesel","Individual","Manual","First Owner",12.99,2494,100.57,7,9100,9,"Yes"
"Maruti",2013,550000,70000,"Diesel","Individual","Manual","First Owner",23.4,1248,74,5,7150,9,"Yes"
"Honda",2019,680000,15000,"Petrol","Individual","Automatic","First Owner",19,1199,88.76,5,8840,3,"Yes"
